NASDAQ,Close
19:23 - 19:24 01/02/2020,8821.79
19:24 - 19:25 01/02/2020,8822.3
19:25 - 19:26 01/02/2020,8822.06
19:26 - 19:27 01/02/2020,8821.31
19:27 - 19:28 01/02/2020,8820.95
19:28 - 19:29 01/02/2020,8820.63
19:29 - 19:30 01/02/2020,8821.17
19:30 - 19:31 01/02/2020,8821.23
19:31 - 19:32 01/02/2020,8820.44
19:32 - 19:33 01/02/2020,8821
19:33 - 19:34 01/02/2020,8821.07
19:34 - 19:35 01/02/2020,8820.66
19:35 - 19:36 01/02/2020,8819.75
19:36 - 19:37 01/02/2020,8819.69
19:37 - 19:38 01/02/2020,8819.76
19:38 - 19:39 01/02/2020,8820.38
19:39 - 19:40 01/02/2020,8820.06
19:40 - 19:41 01/02/2020,8819.89
19:41 - 19:42 01/02/2020,8819.38
19:42 - 19:43 01/02/2020,8818.42
19:43 - 19:44 01/02/2020,8817.92
19:44 - 19:45 01/02/2020,8818.15
19:45 - 19:46 01/02/2020,8819.32
19:46 - 19:47 01/02/2020,8820.06
19:47 - 19:48 01/02/2020,8822.76
19:48 - 19:49 01/02/2020,8824.59
19:49 - 19:50 01/02/2020,8824.9
19:50 - 19:51 01/02/2020,8823.9
19:51 - 19:52 01/02/2020,8823.66
19:52 - 19:53 01/02/2020,8823.38
19:53 - 19:54 01/02/2020,8822.25
19:54 - 19:55 01/02/2020,8822.63
19:55 - 19:56 01/02/2020,8823.24
19:56 - 19:57 01/02/2020,8824.56
19:57 - 19:58 01/02/2020,8825.95
19:58 - 19:59 01/02/2020,8825.62
19:59 - 20:00 01/02/2020,8826.92
20:00 - 20:01 01/02/2020,8827.6
20:01 - 20:02 01/02/2020,8828.02
20:02 - 20:03 01/02/2020,8829.61
20:03 - 20:04 01/02/2020,8828.93
20:04 - 20:05 01/02/2020,8830.59
20:05 - 20:06 01/02/2020,8830.93
20:06 - 20:07 01/02/2020,8831.34
20:07 - 20:08 01/02/2020,8831.01
20:08 - 20:09 01/02/2020,8830.49
20:09 - 20:10 01/02/2020,8829.91
20:10 - 20:11 01/02/2020,8829.42
20:11 - 20:12 01/02/2020,8830.54
20:12 - 20:13 01/02/2020,8831.25
20:13 - 20:14 01/02/2020,8831.54
20:14 - 20:15 01/02/2020,8831.56
20:15 - 20:16 01/02/2020,8832.79
20:16 - 20:17 01/02/2020,8831.88
20:17 - 20:18 01/02/2020,8832.41
20:18 - 20:19 01/02/2020,8833.58
20:19 - 20:20 01/02/2020,8835.3
20:20 - 20:21 01/02/2020,8837.09
20:21 - 20:22 01/02/2020,8837.03
20:22 - 20:23 01/02/2020,8837.72
20:23 - 20:24 01/02/2020,8837.77
20:24 - 20:25 01/02/2020,8839.28
20:25 - 20:26 01/02/2020,8840.01
20:26 - 20:27 01/02/2020,8839.62
20:27 - 20:28 01/02/2020,8840.69
20:28 - 20:29 01/02/2020,8840.59
20:29 - 20:30 01/02/2020,8840.85
20:30 - 20:31 01/02/2020,8840.08
20:31 - 20:32 01/02/2020,8840.53
20:32 - 20:33 01/02/2020,8839.83
20:33 - 20:34 01/02/2020,8840.57
20:34 - 20:35 01/02/2020,8839.68
20:35 - 20:36 01/02/2020,8839.18
20:36 - 20:37 01/02/2020,8840.03
20:37 - 20:38 01/02/2020,8838.49
20:38 - 20:39 01/02/2020,8839.5
20:39 - 20:40 01/02/2020,8839.65
20:40 - 20:41 01/02/2020,8840.87
20:41 - 20:42 01/02/2020,8841.18
20:42 - 20:43 01/02/2020,8842.36
20:43 - 20:44 01/02/2020,8843.75
20:44 - 20:45 01/02/2020,8844.61
20:45 - 20:46 01/02/2020,8843.94
20:46 - 20:47 01/02/2020,8843.59
20:47 - 20:48 01/02/2020,8844.8
20:48 - 20:49 01/02/2020,8844.17
20:49 - 20:50 01/02/2020,8844.61
20:50 - 20:51 01/02/2020,8845.2
20:51 - 20:52 01/02/2020,8846.47
20:52 - 20:53 01/02/2020,8846.49
20:53 - 20:54 01/02/2020,8845.94
20:54 - 20:55 01/02/2020,8846.06
20:55 - 20:56 01/02/2020,8846.18
20:56 - 20:57 01/02/2020,8846.3
20:57 - 20:58 01/02/2020,8846.54
20:58 - 20:59 01/02/2020,8845.34
20:59 - 21:00 01/02/2020,8845.65
21:00 - 21:01 01/02/2020,8847.28
21:01 - 21:02 01/02/2020,8846.59
21:02 - 21:03 01/02/2020,8847.32
21:03 - 21:04 01/02/2020,8847.84
21:04 - 21:05 01/02/2020,8848.11
21:05 - 21:06 01/02/2020,8846.54
21:06 - 21:07 01/02/2020,8847.13
21:07 - 21:08 01/02/2020,8847.87
21:08 - 21:09 01/02/2020,8845.97
21:09 - 21:10 01/02/2020,8845.21
21:10 - 21:11 01/02/2020,8847.05
21:11 - 21:12 01/02/2020,8847.88
21:12 - 21:13 01/02/2020,8849.6
21:13 - 21:14 01/02/2020,8849.15
21:14 - 21:15 01/02/2020,8848.46
21:15 - 21:16 01/02/2020,8848.2
21:16 - 21:17 01/02/2020,8848.9
21:17 - 21:18 01/02/2020,8850.57
21:18 - 21:19 01/02/2020,8849.23
21:19 - 21:20 01/02/2020,8846.65
21:20 - 21:21 01/02/2020,8848.31
21:21 - 21:22 01/02/2020,8849.32
21:22 - 21:23 01/02/2020,8850.97
21:23 - 21:24 01/02/2020,8850.52
21:24 - 21:25 01/02/2020,8849.57
21:25 - 21:26 01/02/2020,8848.42
21:26 - 21:27 01/02/2020,8849.32
21:27 - 21:28 01/02/2020,8848.98
21:28 - 21:29 01/02/2020,8848.53
21:29 - 21:30 01/02/2020,8847.34
21:30 - 21:31 01/02/2020,8846.87
21:31 - 21:32 01/02/2020,8848.87
21:32 - 21:33 01/02/2020,8849.69
21:33 - 21:34 01/02/2020,8850.43
21:34 - 21:35 01/02/2020,8851.09
21:35 - 21:36 01/02/2020,8851.78
21:36 - 21:37 01/02/2020,8850.24
21:37 - 21:38 01/02/2020,8851.66
21:38 - 21:39 01/02/2020,8852.07
21:39 - 21:40 01/02/2020,8851.18
21:40 - 21:41 01/02/2020,8851.03
21:41 - 21:42 01/02/2020,8850.47
21:42 - 21:43 01/02/2020,8849.81
21:43 - 21:44 01/02/2020,8850.04
21:44 - 21:45 01/02/2020,8852.27
21:45 - 21:46 01/02/2020,8850.85
21:46 - 21:47 01/02/2020,8852
21:47 - 21:48 01/02/2020,8853.62
21:48 - 21:49 01/02/2020,8852.39
21:49 - 21:50 01/02/2020,8854.56
21:50 - 21:51 01/02/2020,8857.39
21:51 - 21:52 01/02/2020,8857.94
21:52 - 21:53 01/02/2020,8858.9
21:53 - 21:54 01/02/2020,8859.73
21:54 - 21:55 01/02/2020,8868.15
21:55 - 21:56 01/02/2020,8864.88
21:56 - 21:57 01/02/2020,8866.86
21:57 - 21:58 01/02/2020,8866.16
21:58 - 21:59 01/02/2020,8868.16
21:59 - 22:00 01/02/2020,8871.36
22:00 - 22:01 01/02/2020,8872.22
22:01 - 22:02 01/02/2020,8872.22
22:02 - 22:03 01/02/2020,8872.22
22:03 - 22:04 01/02/2020,8872.22
22:04 - 22:05 01/02/2020,8872.22
22:05 - 22:06 01/02/2020,8872.22
22:06 - 22:07 01/02/2020,8872.22
22:07 - 22:08 01/02/2020,8872.22
22:08 - 22:09 01/02/2020,8872.22
22:09 - 22:10 01/02/2020,8872.22
22:10 - 22:11 01/02/2020,8872.22
22:11 - 22:12 01/02/2020,8872.22
22:12 - 22:13 01/02/2020,8872.22
22:13 - 22:14 01/02/2020,8872.22
22:14 - 22:15 01/02/2020,8872.22
22:15 - 22:16 01/02/2020,8872.22
22:16 - 22:17 01/02/2020,8872.22
22:17 - 22:18 01/02/2020,8872.22
22:18 - 22:19 01/02/2020,8872.22
22:19 - 22:20 01/02/2020,8872.22
22:20 - 22:21 01/02/2020,8872.22
22:21 - 22:22 01/02/2020,8872.22
22:22 - 22:23 01/02/2020,8872.22
22:23 - 22:24 01/02/2020,8872.22
22:24 - 22:25 01/02/2020,8872.22
22:25 - 22:26 01/02/2020,8872.22
22:26 - 22:27 01/02/2020,8872.22
22:27 - 22:28 01/02/2020,8872.22
22:28 - 22:29 01/02/2020,8872.22
22:29 - 22:30 01/02/2020,8872.22
22:30 - 22:31 01/02/2020,8872.22
22:31 - 22:32 01/02/2020,8872.22
22:32 - 22:33 01/02/2020,8872.22
22:33 - 22:34 01/02/2020,8872.22
22:34 - 22:35 01/02/2020,8872.22
22:35 - 22:36 01/02/2020,8872.22
22:36 - 22:37 01/02/2020,8872.22
22:37 - 22:38 01/02/2020,8872.22
22:38 - 22:39 01/02/2020,8872.22
22:39 - 22:40 01/02/2020,8872.22
22:40 - 22:41 01/02/2020,8872.22
22:41 - 22:42 01/02/2020,8872.22
22:42 - 22:43 01/02/2020,8872.22
22:43 - 22:44 01/02/2020,8872.22
22:44 - 22:45 01/02/2020,8872.22
03JAN2020_00:00:00.000000 01/02/2020,
15:30 - 15:31 01/03/2020,8770.56
15:31 - 15:32 01/03/2020,8785.28
15:32 - 15:33 01/03/2020,8792.26
15:33 - 15:34 01/03/2020,8800.23
15:34 - 15:35 01/03/2020,8807.77
15:35 - 15:36 01/03/2020,8804.58
15:36 - 15:37 01/03/2020,8802.59
15:37 - 15:38 01/03/2020,8801.06
15:38 - 15:39 01/03/2020,8804.34
15:39 - 15:40 01/03/2020,8805.62
15:40 - 15:41 01/03/2020,8804.62
15:41 - 15:42 01/03/2020,8808.85
15:42 - 15:43 01/03/2020,8815.25
15:43 - 15:44 01/03/2020,8823.8
15:44 - 15:45 01/03/2020,8822.22
15:45 - 15:46 01/03/2020,8820.88
15:46 - 15:47 01/03/2020,8816.84
15:47 - 15:48 01/03/2020,8816.72
15:48 - 15:49 01/03/2020,8814.13
15:49 - 15:50 01/03/2020,8817.01
15:50 - 15:51 01/03/2020,8816
15:51 - 15:52 01/03/2020,8809.87
15:52 - 15:53 01/03/2020,8807.27
15:53 - 15:54 01/03/2020,8810.22
15:54 - 15:55 01/03/2020,8806.18
15:55 - 15:56 01/03/2020,8800.13
15:56 - 15:57 01/03/2020,8803
15:57 - 15:58 01/03/2020,8807.42
15:58 - 15:59 01/03/2020,8811.24
15:59 - 16:00 01/03/2020,8801.32
16:00 - 16:01 01/03/2020,8800.07
16:01 - 16:02 01/03/2020,8802.42
16:02 - 16:03 01/03/2020,8796.04
16:03 - 16:04 01/03/2020,8792.09
16:04 - 16:05 01/03/2020,8795.11
16:05 - 16:06 01/03/2020,8795.56
16:06 - 16:07 01/03/2020,8797.18
