"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2019","45.00","44.82","45.79","44.63","26.80M","-0.27%"
"Sep 04, 2019","44.14","45.38","45.69","43.84","28.84M","-1.91%"
"Sep 05, 2019","45.92","44.50","45.96","44.17","37.02M","4.03%"
"Sep 06, 2019","45.49","45.44","45.93","45.03","20.95M","-0.94%"
"Sep 09, 2019","46.36","46.00","46.75","45.85","24.01M","1.91%"
"Sep 10, 2019","47.11","46.16","47.11","45.79","24.42M","1.62%"
"Sep 11, 2019","49.42","47.48","49.63","47.20","50.21M","4.90%"
"Sep 12, 2019","49.17","49.54","50.70","48.88","42.91M","-0.51%"
"Sep 13, 2019","49.04","49.39","49.69","48.97","26.57M","-0.26%"
"Sep 16, 2019","48.56","49.20","49.49","48.23","23.64M","-0.98%"
"Sep 17, 2019","48.96","48.49","49.12","48.07","19.73M","0.82%"
"Sep 18, 2019","48.70","49.00","49.63","48.47","21.14M","-0.53%"
"Sep 19, 2019","49.32","49.20","49.59","48.97","24.42M","1.27%"
"Sep 20, 2019","48.12","49.30","49.39","47.63","32.53M","-2.43%"
"Sep 23, 2019","48.25","48.00","49.04","47.84","21.96M","0.27%"
"Sep 24, 2019","44.64","48.30","48.40","44.52","64.71M","-7.48%"
"Sep 25, 2019","45.74","44.91","45.80","43.67","47.22M","2.46%"
"Sep 26, 2019","48.51","46.13","48.66","45.48","60.39M","6.06%"
"Sep 27, 2019","48.43","48.44","49.74","47.75","55.62M","-0.16%"
"Sep 30, 2019","48.17","48.60","48.80","47.22","29.73M","-0.54%"
"Oct 01, 2019","48.94","48.30","49.19","47.83","30.98M","1.60%"
"Oct 02, 2019","48.63","48.66","48.93","47.89","31.28M","-0.63%"
"Oct 03, 2019","46.61","46.37","46.90","44.86","75.69M","-4.15%"
"Oct 04, 2019","46.29","46.32","46.96","45.61","40.11M","-0.69%"
"Oct 07, 2019","47.54","45.96","47.71","45.71","40.43M","2.70%"
"Oct 08, 2019","48.01","47.17","48.79","46.90","43.51M","0.99%"
"Oct 09, 2019","48.91","48.26","49.46","48.13","34.68M","1.87%"
"Oct 10, 2019","48.95","49.06","49.86","48.32","31.57M","0.08%"
"Oct 11, 2019","49.58","49.43","50.22","49.36","42.44M","1.29%"
"Oct 14, 2019","51.39","49.58","51.71","49.43","51.13M","3.65%"
"Oct 15, 2019","51.58","51.54","52.00","50.82","32.40M","0.37%"
"Oct 16, 2019","51.95","51.48","52.42","51.38","33.52M","0.72%"
"Oct 17, 2019","52.39","52.50","52.96","52.03","23.90M","0.85%"
"Oct 18, 2019","51.39","52.14","52.56","51.02","28.77M","-1.91%"
"Oct 21, 2019","50.70","51.67","51.90","50.04","25.54M","-1.34%"
"Oct 22, 2019","51.12","50.86","51.67","50.17","23.13M","0.83%"
"Oct 23, 2019","50.94","50.90","51.23","50.27","56.08M","-0.35%"
"Oct 24, 2019","59.94","59.67","60.99","57.84","149.10M","17.67%"
"Oct 25, 2019","65.63","59.54","66.00","59.22","150.03M","9.49%"
"Oct 28, 2019","65.54","65.51","68.17","64.52","94.35M","-0.14%"
"Oct 29, 2019","63.24","64.00","64.86","62.95","63.42M","-3.51%"
"Oct 30, 2019","63.00","62.60","63.76","61.99","48.21M","-0.38%"
"Oct 31, 2019","62.98","62.62","63.80","62.60","25.33M","-0.03%"
"Nov 01, 2019","62.66","63.26","63.30","61.96","31.92M","-0.51%"
"Nov 04, 2019","63.49","62.96","64.39","61.85","43.94M","1.32%"
"Nov 05, 2019","63.44","63.92","64.70","63.22","34.72M","-0.08%"
"Nov 06, 2019","65.32","63.60","65.34","62.90","39.70M","2.96%"
"Nov 07, 2019","67.11","65.83","68.30","65.60","72.34M","2.74%"
"Nov 08, 2019","67.43","66.90","67.49","66.50","30.37M","0.48%"
"Nov 11, 2019","69.02","68.79","69.84","68.40","49.97M","2.36%"
"Nov 12, 2019","69.99","69.38","70.07","68.81","36.80M","1.41%"
"Nov 13, 2019","69.22","71.00","71.27","69.04","42.34M","-1.10%"
"Nov 14, 2019","69.87","69.22","70.77","68.58","32.36M","0.94%"
"Nov 15, 2019","70.43","70.13","70.56","69.67","24.06M","0.80%"
"Nov 18, 2019","70.00","70.58","70.63","69.22","22.04M","-0.61%"
"Nov 19, 2019","71.90","70.35","72.00","69.56","38.68M","2.71%"
"Nov 20, 2019","70.44","72.00","72.24","69.91","33.67M","-2.03%"
"Nov 21, 2019","70.97","70.90","72.17","70.80","30.55M","0.75%"
"Nov 22, 2019","66.61","68.03","68.20","66.00","84.35M","-6.14%"
"Nov 25, 2019","67.27","68.86","68.91","66.89","61.73M","0.99%"
"Nov 26, 2019","65.78","67.05","67.10","65.42","39.78M","-2.21%"
"Nov 27, 2019","66.26","66.22","66.79","65.71","27.82M","0.73%"
"Nov 29, 2019","65.99","66.22","66.25","65.50","12.33M","-0.41%"
"Dec 02, 2019","66.97","65.88","67.28","65.74","30.41M","1.49%"
"Dec 03, 2019","67.24","66.52","67.58","66.44","33.07M","0.40%"
"Dec 04, 2019","66.61","67.55","67.57","66.57","27.68M","-0.94%"
"Dec 05, 2019","66.07","66.57","66.88","65.45","18.68M","-0.81%"
"Dec 06, 2019","67.18","67.00","67.77","66.95","38.09M","1.68%"
"Dec 09, 2019","67.91","67.32","68.89","67.02","45.20M","1.09%"
"Dec 10, 2019","69.77","67.99","70.15","67.86","44.20M","2.74%"
"Dec 11, 2019","70.54","70.38","71.44","70.22","34.60M","1.10%"
"Dec 12, 2019","71.94","70.98","72.55","70.65","38.88M","1.98%"
"Dec 13, 2019","71.68","72.21","73.04","70.93","32.87M","-0.36%"
"Dec 16, 2019","76.30","72.51","76.72","72.50","91.10M","6.45%"
"Dec 17, 2019","75.80","75.80","77.10","75.18","42.52M","-0.66%"
"Dec 18, 2019","78.63","76.13","79.04","76.12","70.68M","3.73%"
"Dec 19, 2019","80.81","79.46","81.37","79.30","90.60M","2.77%"
"Dec 20, 2019","81.12","82.06","82.60","80.04","73.93M","0.38%"
"Dec 23, 2019","83.84","82.36","84.40","82.00","66.66M","3.35%"
"Dec 24, 2019","85.05","83.67","85.09","82.54","40.27M","1.44%"
"Dec 26, 2019","86.19","85.58","86.70","85.27","53.24M","1.34%"
"Dec 27, 2019","86.08","87.00","87.06","85.22","49.78M","-0.13%"
"Dec 30, 2019","82.94","85.76","85.80","81.85","63.01M","-3.65%"
"Dec 31, 2019","83.67","81.00","84.26","80.42","51.46M","0.88%"
"Jan 02, 2020","86.05","84.90","86.14","84.34","47.79M","2.84%"
"Jan 03, 2020","88.60","88.10","90.80","87.38","88.97M","2.96%"
"Jan 06, 2020","90.31","88.09","90.31","88.00","50.79M","1.93%"
"Jan 07, 2020","93.81","92.28","94.33","90.67","91.05M","3.88%"
"Jan 08, 2020","98.43","94.74","99.70","93.65","156.00M","4.92%"
"Jan 09, 2020","96.27","99.42","99.76","94.57","142.32M","-2.19%"
"Jan 10, 2020","95.63","96.36","96.99","94.74","64.88M","-0.66%"
"Jan 13, 2020","104.97","98.70","105.13","98.40","133.17M","9.77%"
"Jan 14, 2020","107.58","108.85","109.48","104.98","145.31M","2.49%"
"Jan 15, 2020","103.70","105.95","107.57","103.36","86.84M","-3.61%"
"Jan 16, 2020","102.70","98.75","102.89","98.43","108.68M","-0.96%"
"Jan 17, 2020","102.10","101.52","103.13","100.63","68.15M","-0.58%"
"Jan 21, 2020","109.44","106.05","109.72","105.68","89.02M","7.19%"
"Jan 22, 2020","113.91","114.38","118.90","111.82","156.85M","4.08%"
"Jan 23, 2020","114.44","112.85","116.40","111.12","98.26M","0.47%"
"Jan 24, 2020","112.96","114.13","114.77","110.85","71.77M","-1.29%"
"Jan 27, 2020","111.60","108.40","112.89","107.86","68.04M","-1.20%"
"Jan 28, 2020","113.38","113.70","115.36","111.62","58.94M","1.59%"
"Jan 29, 2020","116.20","115.14","117.96","113.49","91.08M","2.49%"
"Jan 30, 2020","128.16","126.48","130.18","123.60","145.03M","10.29%"
"Jan 31, 2020","130.11","128.00","130.60","126.50","78.60M","1.52%"
"Feb 03, 2020","156.00","134.74","157.23","134.70","236.17M","19.90%"
"Feb 04, 2020","177.41","176.59","193.80","166.78","304.69M","13.72%"
"Feb 05, 2020","146.94","164.65","169.20","140.82","242.12M","-17.17%"
"Feb 06, 2020","149.79","139.98","159.17","137.40","199.40M","1.94%"
"Feb 07, 2020","149.61","146.11","153.95","146.00","85.32M","-0.12%"
"Feb 10, 2020","154.26","160.00","164.00","150.48","123.45M","3.11%"
"Feb 11, 2020","154.88","153.76","156.70","151.60","58.49M","0.40%"
"Feb 12, 2020","153.46","155.57","157.95","152.67","60.11M","-0.92%"
"Feb 13, 2020","160.80","148.37","163.60","147.00","131.45M","4.78%"
"Feb 14, 2020","160.01","157.44","162.59","157.10","78.47M","-0.49%"
"Feb 18, 2020","171.68","168.32","172.00","166.47","83.49M","7.29%"
"Feb 19, 2020","183.48","184.70","188.96","180.20","127.11M","6.87%"
"Feb 20, 2020","179.88","182.39","182.40","171.99","88.17M","-1.96%"
"Feb 21, 2020","180.20","181.40","182.61","176.09","71.70M","0.18%"
"Feb 24, 2020","166.76","167.80","172.70","164.44","75.96M","-7.46%"
"Feb 25, 2020","159.98","169.80","171.32","157.40","86.45M","-4.07%"
"Feb 26, 2020","155.76","156.50","162.66","155.22","70.77M","-2.64%"
"Feb 27, 2020","135.80","146.00","147.95","133.80","121.39M","-12.81%"
"Feb 28, 2020","133.60","125.94","138.10","122.30","122.82M","-1.62%"
"Mar 02, 2020","148.72","142.25","148.74","137.33","100.97M","11.32%"
"Mar 03, 2020","149.10","161.00","161.40","143.22","128.92M","0.26%"
"Mar 04, 2020","149.90","152.79","153.30","144.95","75.24M","0.54%"
"Mar 05, 2020","144.91","144.75","149.15","143.61","54.26M","-3.33%"
"Mar 06, 2020","140.70","138.00","141.40","136.85","63.31M","-2.91%"
"Mar 09, 2020","121.60","121.08","132.60","121.00","85.37M","-13.57%"
"Mar 10, 2020","129.07","131.89","133.60","121.60","77.97M","6.14%"
"Mar 11, 2020","126.85","128.04","130.72","122.60","67.07M","-1.72%"
"Mar 12, 2020","112.11","116.18","118.90","109.25","94.55M","-11.62%"
"Mar 13, 2020","109.32","119.00","121.51","100.40","113.20M","-2.49%"
"Mar 16, 2020","89.01","93.90","98.97","88.43","102.45M","-18.58%"
"Mar 17, 2020","86.04","88.00","94.37","79.20","119.97M","-3.34%"
"Mar 18, 2020","72.24","77.80","80.97","70.10","118.93M","-16.04%"
"Mar 19, 2020","85.53","74.94","90.40","71.69","150.98M","18.40%"
"Mar 20, 2020","85.51","87.64","95.40","85.16","141.43M","-0.02%"
"Mar 23, 2020","86.86","86.72","88.40","82.10","82.27M","1.58%"
"Mar 24, 2020","101.00","95.46","102.74","94.80","114.48M","16.28%"
"Mar 25, 2020","107.85","109.05","111.40","102.22","106.11M","6.78%"
"Mar 26, 2020","105.63","109.48","112.00","102.45","87.11M","-2.06%"
"Mar 27, 2020","102.87","101.00","105.16","98.81","71.89M","-2.61%"
"Mar 30, 2020","100.43","102.05","103.33","98.25","59.99M","-2.37%"
"Mar 31, 2020","104.80","100.25","108.59","99.40","88.86M","4.35%"
"Apr 01, 2020","96.31","100.80","102.79","95.02","66.77M","-8.10%"
"Apr 02, 2020","90.89","96.21","98.85","89.28","99.29M","-5.63%"
"Apr 03, 2020","96.00","101.90","103.10","93.68","112.81M","5.62%"
"Apr 06, 2020","103.25","102.24","104.20","99.59","74.51M","7.55%"
"Apr 07, 2020","109.09","109.00","113.00","106.47","89.60M","5.66%"
"Apr 08, 2020","109.77","110.84","111.44","106.67","63.28M","0.62%"
"Apr 09, 2020","114.60","112.42","115.04","111.42","68.25M","4.40%"
"Apr 13, 2020","130.19","118.03","130.40","116.11","112.38M","13.60%"
"Apr 14, 2020","141.98","139.79","148.38","138.49","152.88M","9.06%"
"Apr 15, 2020","145.97","148.40","150.63","142.00","117.89M","2.81%"
"Apr 16, 2020","149.04","143.39","151.89","141.34","103.29M","2.10%"
"Apr 17, 2020","150.78","154.46","154.99","149.53","65.64M","1.17%"
"Apr 20, 2020","149.27","146.54","153.11","142.44","73.73M","-1.00%"
"Apr 21, 2020","137.34","146.02","150.67","134.76","101.05M","-7.99%"
"Apr 22, 2020","146.42","140.80","146.80","137.74","71.12M","6.61%"
"Apr 23, 2020","141.13","145.52","146.80","140.63","66.18M","-3.61%"
"Apr 24, 2020","145.03","142.16","146.15","139.64","66.19M","2.76%"
"Apr 27, 2020","159.75","147.52","159.90","147.00","103.41M","10.15%"
"Apr 28, 2020","153.82","159.13","161.00","151.34","76.11M","-3.71%"
"Apr 29, 2020","160.10","158.03","160.64","156.63","81.08M","4.08%"
"Apr 30, 2020","156.38","171.04","173.96","152.70","142.36M","-2.32%"
"May 01, 2020","140.26","151.00","154.55","136.61","162.66M","-10.31%"
"May 04, 2020","152.24","140.20","152.40","139.60","96.19M","8.54%"
"May 05, 2020","153.64","157.96","159.78","152.44","84.96M","0.92%"
"May 06, 2020","156.52","155.30","157.96","152.22","55.62M","1.87%"
"May 07, 2020","156.01","155.44","159.28","154.47","57.64M","-0.33%"
"May 08, 2020","163.88","158.75","164.80","157.40","80.65M","5.04%"
"May 11, 2020","162.26","158.10","164.80","157.00","82.60M","-0.99%"
"May 12, 2020","161.88","165.40","168.66","161.60","79.53M","-0.23%"
"May 13, 2020","158.19","164.17","165.20","152.66","95.33M","-2.28%"
"May 14, 2020","160.67","156.00","160.67","152.80","68.41M","1.57%"
"May 15, 2020","159.83","158.07","161.01","157.31","52.59M","-0.52%"
"May 18, 2020","162.73","165.56","166.94","160.78","58.49M","1.81%"
"May 19, 2020","161.60","163.03","164.41","161.22","48.18M","-0.69%"
"May 20, 2020","163.11","164.10","165.20","162.36","36.55M","0.93%"
"May 21, 2020","165.52","163.20","166.50","159.20","61.27M","1.48%"
"May 22, 2020","163.38","164.43","166.36","162.40","49.94M","-1.29%"
"May 26, 2020","163.77","166.90","166.92","163.14","40.45M","0.24%"
"May 27, 2020","164.05","164.17","165.54","157.00","57.75M","0.17%"
"May 28, 2020","161.16","162.70","164.95","160.34","36.38M","-1.76%"
"May 29, 2020","167.00","161.75","167.00","160.84","59.06M","3.62%"
"Jun 01, 2020","179.62","171.60","179.80","170.82","75.43M","7.56%"
