"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2019","8,196.04","8,219.28","8,226.18","8,171.63","483.49M","-0.08%"
"Jul 12, 2019","8,244.14","8,209.20","8,245.66","8,201.52","500.70M","0.59%"
"Jul 15, 2019","8,258.18","8,263.18","8,264.78","8,236.27","470.85M","0.17%"
"Jul 16, 2019","8,222.80","8,251.66","8,259.75","8,204.23","473.99M","-0.43%"
"Jul 17, 2019","8,185.21","8,224.00","8,230.67","8,184.66","473.28M","-0.46%"
"Jul 18, 2019","8,207.24","8,151.76","8,215.58","8,135.12","487.19M","0.27%"
"Jul 19, 2019","8,146.49","8,241.34","8,245.78","8,144.63","520.02M","-0.74%"
"Jul 22, 2019","8,204.14","8,171.99","8,218.42","8,171.54","491.48M","0.71%"
"Jul 23, 2019","8,251.40","8,242.50","8,251.83","8,193.89","474.75M","0.58%"
"Jul 24, 2019","8,321.50","8,227.36","8,321.81","8,226.50","528.51M","0.85%"
"Jul 25, 2019","8,238.54","8,294.68","8,295.95","8,233.40","535.59M","-1.00%"
"Jul 26, 2019","8,330.21","8,294.30","8,339.64","8,291.12","529.37M","1.11%"
"Jul 29, 2019","8,293.33","8,325.10","8,325.28","8,247.37","511.48M","-0.44%"
"Jul 30, 2019","8,273.61","8,231.77","8,295.46","8,228.02","510.52M","-0.24%"
"Jul 31, 2019","8,175.42","8,290.80","8,299.83","8,110.02","758.73M","-1.19%"
"Aug 01, 2019","8,111.12","8,190.56","8,311.04","8,080.52","703.64M","-0.79%"
"Aug 02, 2019","8,004.07","8,056.42","8,068.80","7,953.67","584.30M","-1.32%"
"Aug 05, 2019","7,726.04","7,823.33","7,836.45","7,662.90","699.01M","-3.47%"
"Aug 06, 2019","7,833.27","7,804.51","7,845.01","7,739.57","564.77M","1.39%"
"Aug 07, 2019","7,862.83","7,747.27","7,881.38","7,702.42","615.18M","0.38%"
"Aug 08, 2019","8,039.16","7,921.59","8,041.12","7,896.15","659.54M","2.24%"
"Aug 09, 2019","7,959.14","7,997.19","8,020.56","7,910.35","568.09M","-1.00%"
"Aug 12, 2019","7,863.41","7,907.49","7,924.99","7,833.79","536.97M","-1.20%"
"Aug 13, 2019","8,016.36","7,863.41","8,065.24","7,851.58","604.20M","1.95%"
"Aug 14, 2019","7,773.94","7,877.33","7,900.28","7,762.87","637.26M","-3.02%"
"Aug 15, 2019","7,766.62","7,790.20","7,805.93","7,716.55","539.47M","-0.09%"
"Aug 16, 2019","7,895.99","7,828.35","7,907.52","7,828.35","543.84M","1.67%"
"Aug 19, 2019","8,002.81","8,006.18","8,026.75","7,974.36","500.92M","1.35%"
"Aug 20, 2019","7,948.56","7,989.36","8,010.58","7,948.09","452.71M","-0.68%"
"Aug 21, 2019","8,020.21","8,017.07","8,036.94","7,998.50","428.16M","0.90%"
"Aug 22, 2019","7,991.39","8,038.79","8,048.58","7,937.12","456.70M","-0.36%"
"Aug 23, 2019","7,751.77","7,943.65","8,005.34","7,730.77","598.42M","-3.00%"
"Aug 26, 2019","7,853.73","7,829.58","7,856.04","7,789.05","446.37M","1.32%"
"Aug 27, 2019","7,826.95","7,908.78","7,916.83","7,795.18","532.80M","-0.34%"
"Aug 28, 2019","7,856.88","7,798.35","7,866.87","7,766.67","420.87M","0.38%"
"Aug 29, 2019","7,973.39","7,945.78","7,992.29","7,925.83","434.25M","1.48%"
"Aug 30, 2019","7,962.88","8,015.16","8,017.91","7,914.74","467.01M","-0.13%"
"Sep 03, 2019","7,874.16","7,906.44","7,940.37","7,847.32","512.49M","-1.11%"
"Sep 04, 2019","7,976.88","7,949.81","7,981.41","7,928.94","509.99M","1.30%"
"Sep 05, 2019","8,116.83","8,061.29","8,134.42","8,061.29","542.83M","1.75%"
"Sep 06, 2019","8,103.07","8,125.58","8,134.39","8,098.52","478.40M","-0.17%"
"Sep 09, 2019","8,087.44","8,130.91","8,131.65","8,052.35","573.75M","-0.19%"
"Sep 10, 2019","8,084.15","8,049.98","8,086.53","8,001.69","609.35M","-0.04%"
"Sep 11, 2019","8,169.68","8,091.68","8,169.68","8,081.56","595.76M","1.06%"
"Sep 12, 2019","8,194.47","8,206.58","8,243.80","8,176.73","557.77M","0.30%"
"Sep 13, 2019","8,176.71","8,190.57","8,210.20","8,165.47","495.64M","-0.22%"
"Sep 16, 2019","8,153.54","8,121.64","8,165.32","8,121.25","483.84M","-0.28%"
"Sep 17, 2019","8,186.02","8,148.65","8,188.23","8,139.82","471.62M","0.40%"
"Sep 18, 2019","8,177.39","8,174.62","8,179.87","8,086.22","542.24M","-0.11%"
"Sep 19, 2019","8,182.88","8,193.59","8,237.43","8,174.32","492.92M","0.07%"
"Sep 20, 2019","8,117.67","8,184.88","8,202.82","8,086.16","1.52B","-0.80%"
"Sep 23, 2019","8,112.46","8,106.49","8,135.81","8,085.34","473.44M","-0.06%"
"Sep 24, 2019","7,993.63","8,147.23","8,158.84","7,969.65","608.62M","-1.46%"
"Sep 25, 2019","8,077.38","7,990.66","8,095.00","7,935.57","532.51M","1.05%"
"Sep 26, 2019","8,030.66","8,070.12","8,072.11","7,991.02","472.49M","-0.58%"
"Sep 27, 2019","7,939.63","8,047.11","8,051.83","7,890.28","527.85M","-1.13%"
"Sep 30, 2019","7,999.33","7,964.09","8,012.16","7,949.63","510.05M","0.75%"
"Oct 01, 2019","7,908.67","8,026.83","8,062.50","7,906.29","541.53M","-1.13%"
"Oct 02, 2019","7,785.23","7,851.13","7,852.70","7,744.95","629.68M","-1.56%"
"Oct 03, 2019","7,872.25","7,787.02","7,872.27","7,700.00","518.32M","1.12%"
"Oct 04, 2019","7,982.46","7,908.44","7,986.62","7,899.39","443.55M","1.40%"
"Oct 07, 2019","7,956.28","7,956.41","8,013.31","7,942.08","477.67M","-0.33%"
"Oct 08, 2019","7,823.76","7,898.27","7,921.88","7,823.73","478.69M","-1.67%"
"Oct 09, 2019","7,903.73","7,895.96","7,930.91","7,873.52","391.06M","1.02%"
"Oct 10, 2019","7,950.77","7,904.56","7,982.85","7,899.81","451.97M","0.60%"
"Oct 11, 2019","8,057.04","8,047.34","8,115.80","8,046.80","549.19M","1.34%"
"Oct 14, 2019","8,048.65","8,044.35","8,069.85","8,036.41","380.78M","-0.10%"
"Oct 15, 2019","8,148.71","8,074.85","8,166.18","8,071.81","447.40M","1.24%"
"Oct 16, 2019","8,124.18","8,119.81","8,146.15","8,103.38","470.30M","-0.30%"
"Oct 17, 2019","8,156.85","8,176.91","8,183.64","8,131.25","488.85M","0.40%"
"Oct 18, 2019","8,089.54","8,149.85","8,157.36","8,045.38","559.75M","-0.83%"
"Oct 21, 2019","8,162.99","8,137.42","8,164.14","8,117.26","482.28M","0.91%"
"Oct 22, 2019","8,104.30","8,188.12","8,194.62","8,101.98","463.31M","-0.72%"
"Oct 23, 2019","8,119.79","8,090.24","8,122.89","8,078.35","457.42M","0.19%"
"Oct 24, 2019","8,185.80","8,180.04","8,187.84","8,137.66","468.72M","0.81%"
"Oct 25, 2019","8,243.12","8,150.59","8,249.97","8,150.59","475.98M","0.70%"
"Oct 28, 2019","8,325.99","8,285.77","8,335.56","8,285.27","488.91M","1.01%"
"Oct 29, 2019","8,276.85","8,313.35","8,319.29","8,275.14","468.38M","-0.59%"
"Oct 30, 2019","8,303.98","8,284.28","8,315.50","8,241.70","484.37M","0.33%"
"Oct 31, 2019","8,292.36","8,314.38","8,321.80","8,248.81","608.63M","-0.14%"
"Nov 01, 2019","8,386.40","8,335.05","8,386.75","8,326.56","519.42M","1.13%"
"Nov 04, 2019","8,433.20","8,445.50","8,451.37","8,421.30","555.69M","0.56%"
"Nov 05, 2019","8,434.68","8,446.62","8,457.39","8,421.05","559.52M","0.02%"
"Nov 06, 2019","8,410.63","8,426.57","8,426.57","8,379.33","584.19M","-0.29%"
"Nov 07, 2019","8,434.52","8,455.11","8,483.16","8,415.87","618.39M","0.28%"
"Nov 08, 2019","8,475.31","8,422.67","8,475.57","8,405.89","508.33M","0.48%"
"Nov 11, 2019","8,464.28","8,431.26","8,467.29","8,425.49","435.56M","-0.13%"
"Nov 12, 2019","8,486.09","8,471.07","8,514.84","8,462.99","491.23M","0.26%"
"Nov 13, 2019","8,482.10","8,455.02","8,496.90","8,451.34","521.49M","-0.05%"
"Nov 14, 2019","8,479.02","8,461.06","8,485.36","8,441.58","499.40M","-0.04%"
"Nov 15, 2019","8,540.83","8,524.48","8,540.83","8,506.80","588.62M","0.73%"
"Nov 18, 2019","8,549.94","8,529.16","8,559.78","8,503.62","523.43M","0.11%"
"Nov 19, 2019","8,570.66","8,578.02","8,589.76","8,536.73","533.69M","0.24%"
"Nov 20, 2019","8,526.73","8,543.57","8,578.27","8,468.63","771.51M","-0.51%"
"Nov 21, 2019","8,506.21","8,527.87","8,530.73","8,487.29","520.65M","-0.24%"
"Nov 22, 2019","8,519.89","8,530.54","8,535.46","8,477.49","459.67M","0.16%"
"Nov 25, 2019","8,632.49","8,559.65","8,633.15","8,559.65","575.98M","1.32%"
"Nov 26, 2019","8,647.93","8,635.40","8,659.73","8,625.62","739.47M","0.18%"
"Nov 27, 2019","8,705.17","8,669.59","8,705.91","8,662.58","436.37M","0.66%"
"Nov 29, 2019","8,665.47","8,682.01","8,697.33","8,664.03","303.12M","-0.46%"
"Dec 02, 2019","8,567.99","8,672.84","8,672.84","8,540.16","559.26M","-1.12%"
"Dec 03, 2019","8,520.64","8,460.72","8,523.98","8,435.40","599.92M","-0.55%"
"Dec 04, 2019","8,566.67","8,557.44","8,584.88","8,552.38","571.97M","0.54%"
"Dec 05, 2019","8,570.70","8,587.93","8,588.89","8,541.92","536.69M","0.05%"
"Dec 06, 2019","8,656.53","8,634.25","8,665.44","8,630.58","527.65M","1.00%"
"Dec 09, 2019","8,621.83","8,650.86","8,678.85","8,619.77","547.63M","-0.40%"
"Dec 10, 2019","8,616.18","8,623.56","8,650.76","8,600.82","515.36M","-0.07%"
"Dec 11, 2019","8,654.05","8,631.12","8,658.48","8,622.35","486.22M","0.44%"
"Dec 12, 2019","8,717.32","8,645.36","8,745.82","8,633.60","588.22M","0.73%"
"Dec 13, 2019","8,734.88","8,713.91","8,768.87","8,697.58","543.98M","0.20%"
"Dec 16, 2019","8,814.23","8,791.31","8,833.45","8,789.77","632.71M","0.91%"
"Dec 17, 2019","8,823.36","8,829.47","8,831.99","8,804.60","594.89M","0.10%"
"Dec 18, 2019","8,827.74","8,834.65","8,848.76","8,820.42","680.42M","0.05%"
"Dec 19, 2019","8,887.22","8,838.97","8,888.13","8,838.97","629.57M","0.67%"
"Dec 20, 2019","8,924.95","8,911.84","8,931.91","8,901.87","1.60B","0.42%"
"Dec 23, 2019","8,945.65","8,950.20","8,956.64","8,934.55","510.23M","0.23%"
"Dec 24, 2019","8,952.88","8,955.01","8,957.12","8,934.36","248.97M","0.08%"
"Dec 26, 2019","9,022.39","8,970.21","9,022.46","8,968.45","394.33M","0.78%"
"Dec 27, 2019","9,006.62","9,049.47","9,052.00","8,987.32","443.17M","-0.17%"
"Dec 30, 2019","8,945.99","9,004.45","9,006.36","8,909.19","483.98M","-0.67%"
"Dec 31, 2019","8,972.60","8,918.74","8,975.35","8,912.77","554.99M","0.30%"
"Jan 02, 2020","9,092.19","9,039.46","9,093.43","9,010.89","654.95M","1.33%"
"Jan 03, 2020","9,020.77","8,976.43","9,065.76","8,976.43","618.55M","-0.79%"
"Jan 06, 2020","9,071.47","8,943.50","9,072.41","8,943.50","690.23M","0.56%"
"Jan 07, 2020","9,068.58","9,076.65","9,091.93","9,042.55","552.23M","-0.03%"
"Jan 08, 2020","9,129.24","9,068.03","9,168.89","9,059.38","595.81M","0.67%"
"Jan 09, 2020","9,203.43","9,202.27","9,215.95","9,158.50","601.33M","0.81%"
"Jan 10, 2020","9,178.86","9,232.94","9,235.20","9,164.66","585.08M","-0.27%"
"Jan 13, 2020","9,273.93","9,213.72","9,274.49","9,193.06","605.16M","1.04%"
"Jan 14, 2020","9,251.33","9,270.61","9,298.33","9,226.49","624.22M","-0.24%"
"Jan 15, 2020","9,258.69","9,253.76","9,298.82","9,231.14","584.77M","0.08%"
"Jan 16, 2020","9,357.13","9,313.44","9,357.92","9,301.32","567.15M","1.06%"
"Jan 17, 2020","9,388.94","9,392.37","9,393.48","9,346.81","659.47M","0.34%"
"Jan 21, 2020","9,370.81","9,361.07","9,397.58","9,350.20","691.60M","-0.19%"
"Jan 22, 2020","9,383.77","9,413.61","9,439.29","9,375.13","580.34M","0.14%"
"Jan 23, 2020","9,402.48","9,377.72","9,409.20","9,334.13","611.04M","0.20%"
"Jan 24, 2020","9,314.91","9,446.20","9,451.43","9,273.23","629.46M","-0.93%"
"Jan 27, 2020","9,139.31","9,092.46","9,185.45","9,088.04","686.78M","-1.89%"
"Jan 28, 2020","9,269.68","9,201.82","9,288.87","9,182.33","530.77M","1.43%"
"Jan 29, 2020","9,275.16","9,318.26","9,329.11","9,249.04","548.87M","0.06%"
"Jan 30, 2020","9,298.93","9,211.15","9,303.00","9,185.18","573.68M","0.26%"
"Jan 31, 2020","9,150.94","9,324.33","9,324.80","9,123.22","695.77M","-1.59%"
"Feb 03, 2020","9,273.40","9,190.72","9,299.85","9,188.55","623.27M","1.34%"
"Feb 04, 2020","9,467.97","9,398.39","9,485.38","9,374.05","607.83M","2.10%"
"Feb 05, 2020","9,508.68","9,574.10","9,574.93","9,454.93","625.91M","0.43%"
"Feb 06, 2020","9,572.15","9,540.98","9,575.66","9,505.68","582.67M","0.67%"
"Feb 07, 2020","9,520.51","9,526.64","9,570.09","9,496.53","549.79M","-0.54%"
"Feb 10, 2020","9,628.39","9,493.63","9,628.66","9,493.63","546.60M","1.13%"
"Feb 11, 2020","9,638.94","9,680.89","9,714.74","9,617.21","567.80M","0.11%"
"Feb 12, 2020","9,725.96","9,688.60","9,728.77","9,666.68","589.71M","0.90%"
"Feb 13, 2020","9,711.97","9,657.04","9,748.32","9,650.02","545.84M","-0.14%"
"Feb 14, 2020","9,731.18","9,728.90","9,746.36","9,693.05","536.34M","0.20%"
"Feb 18, 2020","9,732.74","9,679.04","9,747.68","9,675.80","555.31M","0.02%"
"Feb 19, 2020","9,817.18","9,782.81","9,838.37","9,777.10","580.07M","0.87%"
"Feb 20, 2020","9,750.97","9,799.20","9,820.86","9,636.94","646.92M","-0.67%"
"Feb 21, 2020","9,576.59","9,708.01","9,715.95","9,542.33","699.67M","-1.79%"
"Feb 24, 2020","9,221.28","9,188.44","9,322.88","9,166.01","795.20M","-3.71%"
"Feb 25, 2020","8,965.61","9,301.20","9,315.26","8,940.49","871.82M","-2.77%"
"Feb 26, 2020","8,980.77","9,011.55","9,148.32","8,927.80","870.35M","0.17%"
"Feb 27, 2020","8,566.48","8,744.03","8,904.11","8,562.05","1.15B","-4.61%"
"Feb 28, 2020","8,567.37","8,269.74","8,591.82","8,264.16","1.44B","0.01%"
"Mar 02, 2020","8,952.17","8,667.14","8,952.81","8,543.35","1.10B","4.49%"
"Mar 03, 2020","8,684.09","8,965.10","9,070.32","8,602.89","1.10B","-2.99%"
"Mar 04, 2020","9,018.09","8,834.10","9,019.96","8,757.66","878.06M","3.85%"
"Mar 05, 2020","8,738.59","8,790.09","8,921.08","8,677.39","901.11M","-3.10%"
"Mar 06, 2020","8,575.62","8,469.01","8,612.36","8,375.13","1.05B","-1.86%"
"Mar 09, 2020","7,950.68","7,957.93","8,243.31","7,943.16","1.20B","-7.29%"
"Mar 10, 2020","8,344.25","8,219.76","8,347.40","7,930.43","1.12B","4.95%"
"Mar 11, 2020","7,952.05","8,136.25","8,181.36","7,850.94","1.06B","-4.70%"
"Mar 12, 2020","7,201.80","7,398.58","7,712.33","7,194.67","1.34B","-9.43%"
"Mar 13, 2020","7,874.88","7,610.39","7,875.93","7,219.09","1.25B","9.35%"
"Mar 16, 2020","6,904.59","7,392.73","7,422.20","6,882.86","1.27B","-12.32%"
"Mar 17, 2020","7,334.78","6,904.59","7,406.23","6,828.91","1.29B","6.23%"
"Mar 18, 2020","6,989.84","6,902.32","7,182.83","6,686.36","1.26B","-4.70%"
"Mar 19, 2020","7,150.58","6,996.45","7,341.38","6,858.38","1.19B","2.30%"
"Mar 20, 2020","6,879.52","7,248.07","7,354.44","6,854.67","1.64B","-3.79%"
"Mar 23, 2020","6,860.67","6,847.28","6,984.94","6,631.42","1.08B","-0.27%"
"Mar 24, 2020","7,417.86","7,196.15","7,418.37","7,169.86","1.15B","8.12%"
"Mar 25, 2020","7,384.30","7,421.36","7,671.21","7,276.40","1.19B","-0.45%"
"Mar 26, 2020","7,797.54","7,462.21","7,809.82","7,462.21","1.01B","5.60%"
"Mar 27, 2020","7,502.38","7,554.25","7,716.24","7,491.14","1.00B","-3.79%"
"Mar 30, 2020","7,774.15","7,583.46","7,784.35","7,539.97","926.45M","3.62%"
"Mar 31, 2020","7,700.10","7,740.06","7,880.31","7,642.86","1.10B","-0.95%"
"Apr 01, 2020","7,360.58","7,459.50","7,566.37","7,301.98","914.11M","-4.41%"
"Apr 02, 2020","7,487.31","7,317.45","7,501.70","7,307.95","912.99M","1.72%"
"Apr 03, 2020","7,373.08","7,477.27","7,518.72","7,288.11","836.10M","-1.53%"
"Apr 06, 2020","7,913.24","7,660.17","7,938.33","7,617.79","980.15M","7.33%"
"Apr 07, 2020","7,887.26","8,129.99","8,146.43","7,881.22","1.00B","-0.33%"
"Apr 08, 2020","8,090.90","7,975.72","8,114.43","7,901.94","838.25M","2.58%"
"Apr 09, 2020","8,153.57","8,169.01","8,227.91","8,072.32","925.80M","0.77%"
"Apr 13, 2020","8,192.42","8,127.69","8,200.44","8,035.95","761.87M","0.48%"
"Apr 14, 2020","8,515.74","8,353.21","8,531.11","8,338.08","849.82M","3.95%"
"Apr 15, 2020","8,393.18","8,355.96","8,464.66","8,308.79","794.06M","-1.44%"
"Apr 16, 2020","8,532.36","8,479.11","8,560.16","8,393.27","919.56M","1.66%"
"Apr 17, 2020","8,650.14","8,667.48","8,670.30","8,531.69","1.06B","1.38%"
"Apr 20, 2020","8,560.73","8,553.38","8,684.91","8,553.38","876.31M","-1.03%"
"Apr 21, 2020","8,263.23","8,460.69","8,480.29","8,215.69","881.56M","-3.48%"
"Apr 22, 2020","8,495.38","8,434.55","8,537.31","8,404.54","733.43M","2.81%"
"Apr 23, 2020","8,494.75","8,528.84","8,635.23","8,475.20","854.52M","-0.01%"
"Apr 24, 2020","8,634.52","8,530.08","8,642.93","8,464.42","797.88M","1.65%"
"Apr 27, 2020","8,730.16","8,717.98","8,754.57","8,697.37","807.92M","1.11%"
"Apr 28, 2020","8,607.73","8,825.68","8,830.57","8,600.70","846.78M","-1.40%"
"Apr 29, 2020","8,914.71","8,802.70","8,957.26","8,765.01","1.03B","3.57%"
"Apr 30, 2020","8,889.55","8,911.01","8,926.11","8,825.83","1.13B","-0.28%"
"May 01, 2020","8,604.95","8,681.29","8,754.46","8,566.84","868.79M","-3.20%"
"May 04, 2020","8,710.72","8,555.32","8,715.82","8,537.83","806.28M","1.23%"
"May 05, 2020","8,809.12","8,809.66","8,909.96","8,781.31","834.18M","1.13%"
"May 06, 2020","8,854.39","8,874.70","8,933.25","8,819.37","782.81M","0.51%"
"May 07, 2020","8,979.66","8,973.78","9,015.99","8,932.85","831.29M","1.41%"
"May 08, 2020","9,121.32","9,056.89","9,125.98","9,018.21","824.61M","1.58%"
"May 11, 2020","9,192.34","9,054.91","9,241.92","9,053.17","878.43M","0.78%"
"May 12, 2020","9,002.55","9,225.15","9,250.96","9,000.07","922.43M","-2.06%"
"May 13, 2020","8,863.17","9,006.05","9,074.16","8,752.68","952.96M","-1.55%"
"May 14, 2020","8,943.72","8,788.04","8,945.71","8,705.25","883.25M","0.91%"
"May 15, 2020","9,014.56","8,839.99","9,018.40","8,821.38","1.03B","0.79%"
"May 18, 2020","9,234.83","9,177.15","9,267.22","9,154.35","968.79M","2.44%"
"May 19, 2020","9,185.10","9,227.46","9,317.25","9,183.25","869.45M","-0.54%"
"May 20, 2020","9,375.78","9,305.62","9,392.82","9,304.20","938.19M","2.08%"
"May 21, 2020","9,284.88","9,375.19","9,405.25","9,254.85","785.34M","-0.97%"
"May 22, 2020","9,324.59","9,278.55","9,328.28","9,239.41","746.03M","0.43%"
"May 26, 2020","9,340.22","9,501.21","9,501.21","9,333.16","967.90M","0.17%"
"May 27, 2020","9,412.36","9,346.12","9,414.62","9,144.28","951.52M","0.77%"
"May 28, 2020","9,368.99","9,392.99","9,523.64","9,345.28","877.39M","-0.46%"
"May 29, 2020","9,489.87","9,382.35","9,505.55","9,324.73","1.45B","1.29%"
"Jun 01, 2020","9,552.05","9,471.42","9,571.28","9,462.32","878.99M","0.66%"
